nr, area, centroidx, centroidy, numBars, pixPerBar0, ..., pixPerBarN, vertex1x, vertex1y, vertex2x, ...
0, 0.041666666666666664, 0.027777777777777776, 0.36111111111111105, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.08333333333333333, 0.08333333333333333, 0, 1
1, 0.0037878787878787915, 0.05808080808080805, 0.3914141414141412, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.08333333333333333, 0.08333333333333333, 0.09090909090909091, 0.09090909090909091, 0, 1
2, 0.004545454545454547, 0.06363636363636367, 0.39696969696969775, 9, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.09090909090909091, 0.09090909090909091, 0.1, 0.1, 0, 1
3, 0.00555555555555555, 0.07037037037037036, 0.4037037037037035, 9, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.1, 0.1, 0.1111111111111111, 0.1111111111111111, 0, 1
4, 0.0069444444444444475, 0.07870370370370368, 0.41203703703703703, 9, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.1111111111111111, 0.1111111111111111, 0.125, 0.125, 0, 1
5, 0.03273809523809523, 0.09938672438672441, 0.4673520923520924, 9, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.125, 0.125, 0.16666666666666666, 0.16666666666666666, 0.14285714285714285, 0.4285714285714286, 0, 1
6, 0.003246753246753248, 0.1637806637806638, 0.2775372775372775, 9, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0.16666666666666666, 0.16666666666666666, 0.18181818181818182, 0.18181818181818182, 0.16666666666666666, 0.33333333333333326, 0.14285714285714285, 0.4285714285714286
7, 0.0015151515151515145, 0.1828282828282828, 0.23838383838383817, 9, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0.18181818181818182, 0.18181818181818182, 0.2, 0.2, 0.16666666666666666, 0.33333333333333326
8, 0.007738095238095242, 0.16022588522588524, 0.48638583638583577, 9, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0.2, 0.2, 0.14285714285714285, 0.7142857142857142, 0.125, 0.75, 0.16666666666666666, 0.33333333333333326
9, 0.0049603174603174705, 0.13743386243386224, 0.5632275132275125, 9, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0.125, 0.75, 0.1111111111111111, 0.7777777777777777, 0.14285714285714285, 0.4285714285714286, 0.16666666666666666, 0.33333333333333326
10, 0.015873015873015858, 0.08465608465608465, 0.7354497354497356, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.1111111111111111, 0.7777777777777777, 0, 1, 0.14285714285714285, 0.4285714285714286
11, 0.010317460317460315, 0.18408628408628405, 0.43866503866503886, 9, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0.2, 0.2, 0.2222222222222222, 0.2222222222222222, 0.16666666666666666, 0.6666666666666667, 0.14285714285714285, 0.7142857142857142
12, 0.011111111111111113, 0.2101851851851854, 0.4268518518518521, 9, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.2222222222222222, 0.2222222222222222, 0.25, 0.25, 0.2, 0.6000000000000001, 0.16666666666666666, 0.6666666666666667
13, 0.002777777777777775, 0.22407407407407387, 0.46851851851851917, 9, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0.25, 0.25, 0.2222222222222222, 0.5555555555555554, 0.2, 0.6000000000000001
14, 0.006313131313131312, 0.24831649831649838, 0.3927609427609429, 9, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0.25, 0.25, 0.2727272727272727, 0.2727272727272727, 0.25, 0.5, 0.2222222222222222, 0.5555555555555554
15, 0.00519480519480519, 0.2757305194805194, 0.3754329004329003, 9, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0.2727272727272727, 0.2727272727272727, 0.3, 0.3, 0.2857142857142857, 0.4285714285714284, 0.25, 0.5
16, 0.0023809523809523794, 0.30634920634920665, 0.35396825396825354, 9, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0.3, 0.3, 0.3333333333333333, 0.3333333333333333, 0.2857142857142857, 0.4285714285714284
17, 0.011904761904761918, 0.28968253968253976, 0.5515873015873014, 9, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0.3333333333333333, 0.3333333333333333, 0.2857142857142857, 0.7142857142857144, 0.25, 0.75, 0.2857142857142857, 0.4285714285714284
18, 0.007936507936507936, 0.25264550264550273, 0.6104497354497349, 9, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0.25, 0.75, 0.2222222222222222, 0.7777777777777777, 0.25, 0.5, 0.2857142857142857, 0.4285714285714284
19, 0.00555555555555555, 0.22407407407407406, 0.655555555555556, 9, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0.2222222222222222, 0.7777777777777777, 0.2, 0.7999999999999998, 0.2222222222222222, 0.5555555555555554, 0.25, 0.5
20, 0.005555555555555536, 0.19629629629629639, 0.707407407407408, 9, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0.2, 0.7999999999999998, 0.16666666666666666, 0.8333333333333333, 0.2, 0.6000000000000001, 0.2222222222222222, 0.5555555555555554
21, 0.0023809523809523864, 0.306349206349206, 0.5825396825396826, 9, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0.3333333333333333, 0.3333333333333333, 0.3, 0.6999999999999997, 0.2857142857142857, 0.7142857142857144
22, 0.010606060606060605, 0.33232323232323246, 0.5132756132756131, 9, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0.3333333333333333, 0.3333333333333333, 0.36363636363636365, 0.36363636363636365, 0.3333333333333333, 0.6666666666666667, 0.3, 0.6999999999999997
