nr, area, centx, centy, pix0, pix1, pix2, pix3, pix4, pix5
0, 0.05555555555555555, 0.037037037037037035, 0.37037037037037035, 0, 0, 0, 0, 0, 0
1, 0.0069444444444444475, 0.07870370370370368, 0.41203703703703703, 0, 0, 0, 0, 0, 1
2, 0.008928571428571425, 0.0892857142857143, 0.42261904761904756, 0, 0, 0, 0, 1, 0
3, 0.011904761904761904, 0.10317460317460318, 0.43650793650793673, 0, 0, 0, 1, 0, 0
4, 0.03888888888888889, 0.1328042328042328, 0.48518518518518494, 0, 0, 1, 0, 0, 0
5, 0.0027777777777777783, 0.22407407407407398, 0.29074074074074063, 0, 0, 1, 0, 0, 1
6, 0.016071428571428577, 0.18373015873015874, 0.6333333333333334, 0, 1, 0, 0, 0, 1
7, 0.037500000000000006, 0.10833333333333332, 0.8, 0, 1, 0, 0, 0, 0
8, 0.02380952380952378, 0.21626984126984133, 0.6011904761904763, 0, 1, 0, 0, 1, 0
9, 0.03095238095238098, 0.25164835164835153, 0.6251526251526248, 0, 1, 0, 1, 0, 0
10, 0.016666666666666663, 0.2611111111111109, 0.777777777777778, 0, 1, 1, 0, 0, 0
11, 0.026785714285714274, 0.31283068783068785, 0.6620370370370371, 0, 1, 1, 0, 0, 1
12, 0.03273809523809523, 0.3573232323232324, 0.687770562770563, 0, 1, 1, 0, 1, 0
13, 0.012698412698412709, 0.39656084656084656, 0.6965608465608452, 0, 1, 1, 1, 0, 0
14, 0.011111111111111113, 0.44814814814814796, 0.5814814814814813, 0, 1, 1, 1, 0, 1
15, 0.012500000000000011, 0.42500000000000054, 0.7999999999999993, 0, 2, 0, 1, 0, 1
16, 0.00416666666666668, 0.3694444444444433, 0.933333333333332, 0, 2, 0, 1, 0, 0
17, 0.0071428571428571175, 0.4428571428571433, 0.8333333333333346, 0, 2, 1, 0, 0, 1
18, 0.03174603174603177, 0.49470899470899443, 0.7685185185185184, 0, 2, 1, 0, 1, 0
19, 0.003968253968253954, 0.5423280423280411, 0.7089947089947078, 0, 2, 1, 0, 1, 1
20, 0.0267857142857143, 0.5654761904761908, 0.8035714285714285, 0, 2, 1, 1, 0, 1
21, 0.01369047619047617, 0.618133195307108, 0.8073671497584545, 0, 2, 1, 1, 1, 0
22, 0.00416666666666668, 0.6305555555555544, 0.8888888888888874, 0, 2, 2, 0, 1, 0
23, 0.014880952380952384, 0.6686507936507945, 0.8380952380952389, 0, 2, 2, 0, 1, 1
24, 0.005952380952380931, 0.7103174603174599, 0.821428571428571, 0, 2, 2, 1, 0, 1
25, 0.005952380952380987, 0.710317460317461, 0.9166666666666643, 0, 3, 1, 1, 0, 1
26, 0.007936507936507908, 0.7473544973544974, 0.8842592592592602, 0, 3, 1, 1, 1, 0
27, 0.011111111111111127, 0.7898148148148145, 0.8981481481481488, 0, 3, 1, 1, 1, 1
28, 0.004761904761904745, 0.8301587301587323, 0.9246031746031752, 0, 3, 2, 0, 1, 1
29, 0.0029761904761904656, 0.8551587301587315, 0.9345238095238086, 0, 3, 2, 1, 0, 1
30, 0.0019841269841270326, 0.8736772486772406, 0.942129629629623, 0, 3, 2, 1, 1, 0
31, 0.00694444444444442, 0.9212962962962973, 0.962962962962964, 0, 3, 2, 1, 1, 1
32, 0.006944444444444444, 0.0787037037037037, 0.037037037037037035, 1, 0, 0, 0, 0, 0
33, 0.001984126984126984, 0.12632275132275128, 0.05787037037037037, 1, 0, 0, 0, 0, 1
34, 0.002976190476190476, 0.1448412698412699, 0.06547619047619045, 1, 0, 0, 0, 1, 0
35, 0.004761904761904762, 0.16984126984126985, 0.07539682539682539, 1, 0, 0, 1, 0, 0
36, 0.01111111111111111, 0.2101851851851852, 0.10185185185185187, 1, 0, 1, 0, 0, 0
37, 0.007936507936507936, 0.25264550264550256, 0.11574074074074074, 1, 0, 1, 0, 0, 1
38, 0.005952380952380952, 0.2896825396825397, 0.08333333333333333, 1, 0, 1, 0, 1, 0
39, 0.005952380952380952, 0.2896825396825399, 0.1785714285714285, 1, 1, 0, 0, 1, 0
40, 0.014880952380952384, 0.33134920634920617, 0.1619047619047619, 1, 1, 0, 1, 0, 0
41, 0.004166666666666666, 0.3694444444444451, 0.11111111111111102, 1, 1, 0, 1, 0, 1
42, 0.013690476190476183, 0.3818668046928918, 0.19263285024154597, 1, 1, 1, 0, 0, 1
43, 0.026785714285714288, 0.4345238095238095, 0.1964285714285714, 1, 1, 1, 0, 1, 0
44, 0.003968253968253968, 0.45767195767195723, 0.29100529100529116, 1, 1, 1, 1, 0, 0
45, 0.031746031746031744, 0.5052910052910051, 0.23148148148148148, 1, 1, 1, 1, 0, 1
46, 0.007142857142857145, 0.5571428571428585, 0.16666666666666666, 1, 1, 1, 1, 1, 0
47, 0.012499999999999956, 0.5749999999999994, 0.1999999999999998, 1, 1, 2, 0, 1, 0
48, 0.004166666666666652, 0.6305555555555553, 0.0666666666666665, 1, 1, 2, 0, 1, 1
49, 0.012698412698412737, 0.6034391534391543, 0.3034391534391527, 1, 2, 1, 0, 1, 1
50, 0.011111111111111127, 0.5518518518518514, 0.41851851851851857, 1, 2, 1, 0, 1, 0
51, 0.03273809523809526, 0.6426767676767675, 0.31222943722943725, 1, 2, 1, 1, 0, 1
52, 0.026785714285714274, 0.6871693121693117, 0.33796296296296297, 1, 2, 1, 1, 1, 0
53, 0.016666666666666663, 0.7388888888888901, 0.22222222222222204, 1, 2, 1, 1, 1, 1
54, 0.030952380952380953, 0.7483516483516484, 0.37484737484737524, 1, 2, 2, 0, 1, 1
55, 0.02380952380952378, 0.7837301587301595, 0.3988095238095238, 1, 2, 2, 1, 0, 1
56, 0.016071428571428625, 0.8162698412698379, 0.36666666666666664, 1, 2, 2, 1, 1, 0
57, 0.03749999999999998, 0.8916666666666669, 0.20000000000000004, 1, 2, 2, 1, 1, 1
58, 0.03888888888888897, 0.8671957671957663, 0.5148148148148145, 1, 3, 1, 1, 1, 1
