nr, area, centx, centy, pix0, pix1, pix2, pix3, pix4, pix5
0, 0.05555555555555555, 0.037037037037037035, 0.37037037037037035, 0, 0, 0, 0, 0, 0
1, 0.0069444444444444475, 0.07870370370370368, 0.41203703703703703, 0, 0, 0, 0, 0, 1
2, 0.05972222222222222, 0.12039190353143843, 0.4661283376399655, 0, 0, 0, 0, 1, 0
3, 0.0027777777777777783, 0.22407407407407398, 0.29074074074074063, 0, 0, 0, 0, 1, 1
4, 0.008333333333333338, 0.2055555555555557, 0.4722222222222223, 0, 0, 0, 1, 0, 1
5, 0.016666666666666677, 0.12222222222222225, 0.6888888888888893, 0, 0, 0, 1, 0, 0
6, 0.01666666666666667, 0.26111111111111107, 0.39444444444444443, 0, 0, 0, 1, 1, 0
7, 0.030952380952380926, 0.2516483516483519, 0.6133089133089137, 0, 0, 1, 0, 1, 0
8, 0.014880952380952384, 0.33134920634920617, 0.5186507936507938, 0, 0, 1, 0, 1, 1
9, 0.01686507936507939, 0.38986150015561766, 0.5159119203236847, 0, 0, 1, 0, 2, 0
10, 0.003968253968253968, 0.4576719576719581, 0.5052910052910057, 0, 0, 1, 0, 2, 1
11, 0.004761904761904759, 0.1698412698412699, 0.7357142857142853, 0, 0, 1, 0, 0, 1
12, 0.011904761904761897, 0.10317460317460317, 0.8412698412698417, 0, 0, 1, 0, 0, 0
13, 0.007142857142857131, 0.4428571428571427, 0.6238095238095241, 0, 1, 0, 0, 2, 1
14, 0.028571428571428553, 0.3555555555555558, 0.7931216931216931, 0, 1, 0, 0, 2, 0
15, 0.01190476190476189, 0.28968253968253965, 0.8412698412698418, 0, 1, 0, 0, 1, 1
16, 0.023809523809523815, 0.21626984126984125, 0.8849206349206347, 0, 1, 0, 0, 1, 0
17, 0.0029761904761904795, 0.14484126984126977, 0.9206349206349201, 0, 1, 0, 0, 0, 1
18, 0.008928571428571425, 0.08928571428571426, 0.952380952380952, 0, 1, 0, 0, 0, 0
19, 0.01964285714285713, 0.431493506493507, 0.8121212121212116, 0, 1, 0, 1, 1, 1
20, 0.00416666666666668, 0.3694444444444433, 0.933333333333332, 0, 1, 0, 1, 1, 0
21, 0.03174603174603177, 0.49470899470899443, 0.7685185185185184, 0, 1, 0, 1, 2, 0
22, 0.023611111111111138, 0.5641067538126364, 0.7484204793028325, 0, 1, 0, 1, 2, 1
23, 0.00416666666666668, 0.6305555555555544, 0.6972222222222213, 0, 1, 0, 1, 3, 0
24, 0.01369047619047617, 0.618133195307108, 0.8657004830917876, 0, 1, 1, 0, 3, 0
25, 0.020833333333333315, 0.6805555555555559, 0.8333333333333338, 0, 1, 1, 0, 3, 1
26, 0.0071428571428571175, 0.5571428571428554, 0.9333333333333323, 0, 1, 1, 0, 2, 1
27, 0.005952380952380987, 0.710317460317461, 0.9166666666666643, 0, 1, 1, 1, 2, 1
28, 0.007936507936507908, 0.7473544973544974, 0.8842592592592602, 0, 1, 1, 1, 3, 0
29, 0.018849206349206338, 0.810324422166528, 0.9105750487329438, 0, 1, 1, 1, 3, 1
30, 0.0019841269841270326, 0.8736772486772406, 0.942129629629623, 0, 1, 1, 1, 4, 0
31, 0.00694444444444442, 0.9212962962962973, 0.962962962962964, 0, 1, 1, 1, 4, 1
32, 0.006944444444444444, 0.0787037037037037, 0.037037037037037035, 1, 0, 0, 0, 0, 0
33, 0.001984126984126984, 0.12632275132275128, 0.05787037037037037, 1, 0, 0, 0, 0, 1
34, 0.018849206349206348, 0.18967557783347258, 0.08942495126705655, 1, 0, 0, 0, 1, 0
35, 0.007936507936507936, 0.25264550264550256, 0.11574074074074074, 1, 0, 0, 0, 1, 1
36, 0.005952380952380952, 0.2896825396825397, 0.08333333333333333, 1, 0, 0, 0, 2, 0
37, 0.020833333333333336, 0.3194444444444444, 0.16666666666666666, 1, 0, 0, 1, 1, 0
38, 0.013690476190476197, 0.3818668046928916, 0.13429951690821257, 1, 0, 0, 1, 1, 1
39, 0.007142857142857152, 0.44285714285714306, 0.06666666666666674, 1, 0, 0, 1, 2, 0
40, 0.023611111111111083, 0.43589324618736386, 0.2515795206971678, 1, 0, 1, 0, 2, 0
41, 0.031746031746031744, 0.5052910052910051, 0.23148148148148148, 1, 0, 1, 0, 2, 1
42, 0.0196428571428571, 0.5685064935064936, 0.1878787878787877, 1, 0, 1, 0, 3, 0
43, 0.004166666666666652, 0.6305555555555553, 0.0666666666666665, 1, 0, 1, 0, 3, 1
44, 0.004166666666666673, 0.3694444444444442, 0.30277777777777776, 1, 0, 1, 0, 1, 1
45, 0.02857142857142861, 0.6444444444444443, 0.2068783068783067, 1, 0, 1, 1, 2, 1
46, 0.007142857142857173, 0.5571428571428563, 0.37619047619047585, 1, 0, 1, 1, 2, 0
47, 0.011904761904761932, 0.7103174603174611, 0.1587301587301592, 1, 0, 1, 1, 3, 0
48, 0.023809523809523808, 0.7837301587301582, 0.1150793650793652, 1, 0, 1, 1, 3, 1
49, 0.0029761904761904795, 0.8551587301587321, 0.0793650793650793, 1, 0, 1, 1, 4, 0
50, 0.008928571428571452, 0.910714285714286, 0.04761904761904774, 1, 0, 1, 1, 4, 1
51, 0.011904761904761932, 0.8968253968253969, 0.15873015873015914, 1, 1, 0, 1, 4, 1
52, 0.004761904761904773, 0.8301587301587332, 0.2642857142857144, 1, 1, 0, 1, 4, 0
53, 0.030952380952380953, 0.7483516483516484, 0.3866910866910868, 1, 1, 0, 1, 3, 1
54, 0.014880952380952411, 0.6686507936507932, 0.48134920634920564, 1, 1, 0, 1, 3, 0
55, 0.01686507936507936, 0.6101384998443818, 0.48408807967631473, 1, 1, 0, 1, 2, 1
56, 0.003968253968253954, 0.5423280423280423, 0.49470899470899543, 1, 1, 0, 1, 2, 0
57, 0.01666666666666658, 0.8777777777777774, 0.31111111111111156, 1, 1, 1, 0, 4, 1
58, 0.008333333333333304, 0.7944444444444448, 0.5277777777777778, 1, 1, 1, 0, 4, 0
