nr, area, centx, centy, pix0, pix1, pix2, pix3, pix4, pix5
0, 0.05555555555555555, 0.037037037037037035, 0.37037037037037035, 0, 0, 0, 0, 0, 0
1, 0.0069444444444444475, 0.07870370370370368, 0.41203703703703703, 0, 0, 0, 0, 0, 1
2, 0.008928571428571425, 0.0892857142857143, 0.42261904761904756, 0, 0, 0, 0, 1, 0
3, 0.011904761904761904, 0.10317460317460318, 0.43650793650793673, 0, 0, 0, 1, 0, 0
4, 0.06746031746031748, 0.12496109554933081, 0.5983504512916277, 0, 0, 1, 0, 0, 0
5, 0.015873015873015858, 0.19808201058201064, 0.5195105820105819, 0, 0, 1, 0, 0, 1
6, 0.01904761904761905, 0.22787698412698415, 0.5250992063492068, 0, 0, 1, 0, 1, 0
7, 0.022619047619047622, 0.2686299081035922, 0.5300334168755216, 0, 0, 1, 1, 0, 0
8, 0.005952380952380945, 0.2896825396825402, 0.5992063492063497, 0, 0, 2, 0, 0, 0
9, 0.014880952380952384, 0.33134920634920617, 0.5186507936507938, 0, 0, 2, 0, 0, 1
10, 0.013690476190476197, 0.38186680469289175, 0.5161663216011041, 0, 0, 2, 0, 1, 0
11, 0.003174603174603191, 0.4243386243386237, 0.5148148148148137, 0, 0, 2, 1, 0, 0
12, 0.003968253968253968, 0.4576719576719581, 0.5052910052910057, 0, 0, 2, 1, 0, 1
13, 0.019642857142857142, 0.43149350649350665, 0.735930735930736, 0, 1, 1, 1, 0, 1
14, 0.01369047619047617, 0.3818668046928917, 0.8107660455486542, 0, 1, 1, 1, 0, 0
15, 0.019047619047619063, 0.3396825396825398, 0.8111111111111111, 0, 1, 1, 0, 1, 0
16, 0.01190476190476189, 0.28968253968253965, 0.8412698412698418, 0, 1, 1, 0, 0, 1
17, 0.010714285714285718, 0.24523809523809517, 0.8769841269841269, 0, 1, 1, 0, 0, 0
18, 0.0071428571428571175, 0.4428571428571433, 0.8333333333333346, 0, 1, 2, 0, 0, 1
19, 0.03174603174603177, 0.49470899470899443, 0.7685185185185184, 0, 1, 2, 0, 1, 0
20, 0.003968253968253954, 0.5423280423280411, 0.7089947089947078, 0, 1, 2, 0, 1, 1
21, 0.0267857142857143, 0.5654761904761908, 0.8035714285714285, 0, 1, 2, 1, 0, 1
22, 0.01369047619047617, 0.618133195307108, 0.8073671497584545, 0, 1, 2, 1, 1, 0
23, 0.00416666666666668, 0.6305555555555544, 0.8888888888888874, 0, 1, 3, 0, 1, 0
24, 0.014880952380952384, 0.6686507936507945, 0.8380952380952389, 0, 1, 3, 0, 1, 1
25, 0.011904761904761918, 0.7103174603174605, 0.8690476190476178, 0, 1, 3, 1, 0, 1
26, 0.007936507936507908, 0.7473544973544974, 0.8842592592592602, 0, 1, 3, 1, 1, 0
27, 0.011111111111111127, 0.7898148148148145, 0.8981481481481488, 0, 1, 3, 1, 1, 1
28, 0.004761904761904745, 0.8301587301587323, 0.9246031746031752, 0, 1, 4, 0, 1, 1
29, 0.0029761904761904656, 0.8551587301587315, 0.9345238095238086, 0, 1, 4, 1, 0, 1
30, 0.0019841269841270326, 0.8736772486772406, 0.942129629629623, 0, 1, 4, 1, 1, 0
31, 0.00694444444444442, 0.9212962962962973, 0.962962962962964, 0, 1, 4, 1, 1, 1
32, 0.008333333333333331, 0.20555555555555555, 0.8833333333333334, 0, 1, 0, 1, 0, 0
33, 0.004761904761904766, 0.1698412698412699, 0.9055555555555551, 0, 1, 0, 0, 1, 0
34, 0.0029761904761904795, 0.14484126984126977, 0.9206349206349201, 0, 1, 0, 0, 0, 1
35, 0.008928571428571425, 0.08928571428571426, 0.952380952380952, 0, 1, 0, 0, 0, 0
36, 0.006944444444444444, 0.0787037037037037, 0.037037037037037035, 1, 0, 0, 0, 0, 0
37, 0.001984126984126984, 0.12632275132275128, 0.05787037037037037, 1, 0, 0, 0, 0, 1
38, 0.002976190476190476, 0.1448412698412699, 0.06547619047619045, 1, 0, 0, 0, 1, 0
39, 0.004761904761904762, 0.16984126984126985, 0.07539682539682539, 1, 0, 0, 1, 0, 0
40, 0.01111111111111111, 0.2101851851851852, 0.10185185185185187, 1, 0, 1, 0, 0, 0
41, 0.007936507936507936, 0.25264550264550256, 0.11574074074074074, 1, 0, 1, 0, 0, 1
42, 0.011904761904761904, 0.2896825396825398, 0.1309523809523809, 1, 0, 1, 0, 1, 0
43, 0.014880952380952384, 0.33134920634920617, 0.1619047619047619, 1, 0, 1, 1, 0, 0
44, 0.004166666666666666, 0.3694444444444451, 0.11111111111111102, 1, 0, 1, 1, 0, 1
45, 0.013690476190476183, 0.3818668046928918, 0.19263285024154597, 1, 0, 2, 0, 0, 1
46, 0.026785714285714288, 0.4345238095238095, 0.1964285714285714, 1, 0, 2, 0, 1, 0
47, 0.003968253968253968, 0.45767195767195723, 0.29100529100529116, 1, 0, 2, 1, 0, 0
48, 0.031746031746031744, 0.5052910052910051, 0.23148148148148148, 1, 0, 2, 1, 0, 1
49, 0.007142857142857145, 0.5571428571428585, 0.16666666666666666, 1, 0, 2, 1, 1, 0
50, 0.019642857142857156, 0.5685064935064934, 0.264069264069264, 1, 0, 3, 0, 1, 0
51, 0.013690476190476197, 0.6181331953071088, 0.18923395445134597, 1, 0, 3, 0, 1, 1
52, 0.019047619047619035, 0.6603174603174602, 0.18888888888888863, 1, 0, 3, 1, 0, 1
53, 0.011904761904761932, 0.7103174603174611, 0.1587301587301592, 1, 0, 3, 1, 1, 0
54, 0.010714285714285718, 0.7547619047619045, 0.12301587301587305, 1, 0, 3, 1, 1, 1
55, 0.008333333333333345, 0.7944444444444432, 0.1166666666666667, 1, 0, 4, 0, 1, 1
56, 0.004761904761904745, 0.8301587301587303, 0.09444444444444434, 1, 0, 4, 1, 0, 1
57, 0.0029761904761904795, 0.8551587301587321, 0.0793650793650793, 1, 0, 4, 1, 1, 0
