nr, area, centx, centy, pix0, pix1, pix2, pix3, pix4, pix5
0, 0.05555555555555555, 0.037037037037037035, 0.37037037037037035, 0, 0, 0, 0, 0, 0
1, 0.0069444444444444475, 0.07870370370370368, 0.41203703703703703, 0, 0, 0, 0, 0, 1
2, 0.02083333333333333, 0.09722222222222224, 0.4305555555555557, 0, 0, 0, 0, 1, 0
3, 0.016666666666666677, 0.12222222222222225, 0.45555555555555516, 0, 0, 0, 1, 0, 0
4, 0.022222222222222213, 0.14074074074074075, 0.5074074074074073, 0, 0, 1, 0, 0, 0
5, 0.0027777777777777783, 0.22407407407407398, 0.29074074074074063, 0, 0, 1, 0, 0, 1
6, 0.016071428571428577, 0.18373015873015874, 0.6333333333333334, 0, 1, 0, 0, 0, 1
7, 0.037500000000000006, 0.10833333333333332, 0.8, 0, 1, 0, 0, 0, 0
8, 0.05476190476190476, 0.2362663906142167, 0.6147342995169081, 0, 1, 0, 0, 1, 0
9, 0.016666666666666663, 0.2611111111111109, 0.777777777777778, 0, 1, 0, 1, 0, 0
10, 0.020833333333333315, 0.3194444444444445, 0.5972222222222224, 0, 1, 0, 1, 0, 1
11, 0.004166666666666666, 0.3694444444444451, 0.4805555555555553, 0, 1, 0, 1, 1, 0
12, 0.041269841269841276, 0.368172568172568, 0.7113960113960113, 0, 1, 1, 0, 1, 0
13, 0.011111111111111113, 0.44814814814814796, 0.5814814814814813, 0, 1, 1, 0, 1, 1
14, 0.005952380952380959, 0.28968253968253993, 0.8888888888888886, 0, 1, 1, 0, 0, 1
15, 0.012500000000000011, 0.42500000000000054, 0.7999999999999993, 0, 2, 0, 0, 1, 1
16, 0.00416666666666668, 0.3694444444444433, 0.933333333333332, 0, 2, 0, 0, 1, 0
17, 0.0071428571428571175, 0.4428571428571433, 0.8333333333333346, 0, 2, 0, 1, 0, 1
18, 0.03174603174603177, 0.49470899470899443, 0.7685185185185184, 0, 2, 0, 1, 1, 0
19, 0.0111111111111111, 0.5518518518518523, 0.7185185185185186, 0, 2, 0, 1, 1, 1
20, 0.019642857142857156, 0.5685064935064934, 0.8325757575757572, 0, 2, 1, 0, 1, 1
21, 0.01369047619047617, 0.618133195307108, 0.8073671497584545, 0, 2, 1, 0, 2, 0
22, 0.00416666666666668, 0.6305555555555544, 0.8888888888888874, 0, 2, 1, 1, 1, 0
23, 0.020833333333333315, 0.6805555555555559, 0.8333333333333338, 0, 2, 1, 1, 1, 1
24, 0.005952380952380987, 0.710317460317461, 0.9166666666666643, 0, 3, 0, 1, 1, 1
25, 0.007936507936507908, 0.7473544973544974, 0.8842592592592602, 0, 3, 0, 1, 2, 0
26, 0.002777777777777768, 0.7759259259259293, 0.8592592592592626, 0, 3, 0, 1, 2, 1
27, 0.00833333333333336, 0.794444444444443, 0.9111111111111108, 0, 3, 1, 0, 2, 1
28, 0.007738095238095211, 0.8397741147741166, 0.9284188034188035, 0, 3, 1, 1, 1, 1
29, 0.0019841269841270326, 0.8736772486772406, 0.942129629629623, 0, 3, 1, 1, 2, 0
30, 0.00694444444444442, 0.9212962962962973, 0.962962962962964, 0, 3, 1, 1, 2, 1
31, 0.006944444444444444, 0.0787037037037037, 0.037037037037037035, 1, 0, 0, 0, 0, 0
32, 0.001984126984126984, 0.12632275132275128, 0.05787037037037037, 1, 0, 0, 0, 0, 1
33, 0.007738095238095238, 0.16022588522588524, 0.07158119658119656, 1, 0, 0, 0, 1, 0
34, 0.008333333333333335, 0.20555555555555555, 0.08888888888888892, 1, 0, 0, 1, 0, 0
35, 0.002777777777777775, 0.22407407407407406, 0.14074074074074072, 1, 0, 1, 0, 0, 0
36, 0.007936507936507936, 0.25264550264550256, 0.11574074074074074, 1, 0, 1, 0, 0, 1
37, 0.005952380952380952, 0.2896825396825397, 0.08333333333333333, 1, 0, 1, 0, 1, 0
38, 0.020833333333333336, 0.3194444444444444, 0.16666666666666666, 1, 1, 0, 0, 1, 0
39, 0.004166666666666666, 0.3694444444444451, 0.11111111111111102, 1, 1, 0, 0, 1, 1
40, 0.013690476190476183, 0.3818668046928918, 0.19263285024154597, 1, 1, 0, 1, 0, 1
41, 0.019642857142857156, 0.4314935064935064, 0.1674242424242425, 1, 1, 0, 1, 1, 0
42, 0.0111111111111111, 0.44814814814814813, 0.28148148148148144, 1, 1, 1, 0, 1, 0
43, 0.031746031746031744, 0.5052910052910051, 0.23148148148148148, 1, 1, 1, 0, 1, 1
44, 0.007142857142857145, 0.5571428571428585, 0.16666666666666666, 1, 1, 1, 0, 2, 0
45, 0.012499999999999956, 0.5749999999999994, 0.1999999999999998, 1, 1, 1, 1, 1, 0
46, 0.004166666666666652, 0.6305555555555553, 0.0666666666666665, 1, 1, 1, 1, 1, 1
47, 0.04126984126984129, 0.6318274318274321, 0.28860398860398834, 1, 2, 0, 1, 1, 1
48, 0.011111111111111127, 0.5518518518518514, 0.41851851851851857, 1, 2, 0, 1, 1, 0
49, 0.005952380952380945, 0.7103174603174582, 0.11111111111111124, 1, 2, 0, 1, 2, 0
50, 0.02083333333333337, 0.6805555555555555, 0.4027777777777775, 1, 2, 1, 0, 2, 0
51, 0.016666666666666663, 0.7388888888888901, 0.22222222222222204, 1, 2, 1, 0, 2, 1
52, 0.004166666666666666, 0.6305555555555543, 0.5194444444444447, 1, 2, 1, 0, 1, 1
53, 0.054761904761904734, 0.7637336093857836, 0.38526570048309194, 1, 2, 1, 1, 1, 1
54, 0.016071428571428625, 0.8162698412698379, 0.36666666666666664, 1, 2, 1, 1, 2, 0
55, 0.03749999999999998, 0.8916666666666669, 0.20000000000000004, 1, 2, 1, 1, 2, 1
56, 0.022222222222222254, 0.85925925925926, 0.49259259259259364, 1, 3, 0, 1, 2, 1
57, 0.00277777777777774, 0.7759259259259305, 0.7092592592592625, 1, 3, 0, 1, 2, 0
58, 0.016666666666666663, 0.8777777777777775, 0.5444444444444442, 1, 3, 1, 0, 2, 1
