nr, area, centx, centy, pix0, pix1, pix2, pix3, pix4, pix5
0, 0.05555555555555555, 0.037037037037037035, 0.37037037037037035, 0, 0, 0, 0, 0, 0
1, 0.0069444444444444475, 0.07870370370370368, 0.41203703703703703, 0, 0, 0, 0, 0, 1
2, 0.037500000000000006, 0.10833333333333335, 0.44166666666666654, 0, 0, 0, 0, 1, 0
3, 0.022222222222222213, 0.14074074074074075, 0.5074074074074073, 0, 0, 0, 1, 0, 0
4, 0.0027777777777777783, 0.22407407407407398, 0.29074074074074063, 0, 0, 0, 1, 0, 1
5, 0.013095238095238083, 0.19256854256854264, 0.5680375180375178, 0, 0, 1, 0, 0, 1
6, 0.02857142857142858, 0.11428571428571427, 0.7523809523809527, 0, 0, 1, 0, 0, 0
7, 0.0476190476190476, 0.25496031746031766, 0.5367063492063494, 0, 0, 1, 0, 1, 0
8, 0.01488095238095237, 0.33134920634920634, 0.5186507936507943, 0, 0, 1, 0, 1, 1
9, 0.0041666666666666935, 0.3694444444444443, 0.4805555555555554, 0, 0, 1, 0, 2, 0
10, 0.012698412698412723, 0.3965608465608461, 0.5275132275132272, 0, 0, 1, 1, 1, 0
11, 0.003968253968253968, 0.4576719576719581, 0.5052910052910057, 0, 0, 1, 1, 1, 1
12, 0.007142857142857131, 0.4428571428571427, 0.6238095238095241, 0, 1, 0, 1, 1, 1
13, 0.02857142857142854, 0.35555555555555574, 0.7931216931216933, 0, 1, 0, 1, 1, 0
14, 0.005952380952380945, 0.2896825396825406, 0.8888888888888892, 0, 1, 0, 1, 0, 1
15, 0.005952380952380945, 0.28968253968253904, 0.7936507936507945, 0, 1, 0, 0, 1, 1
16, 0.023809523809523815, 0.21626984126984125, 0.8849206349206347, 0, 1, 0, 0, 1, 0
17, 0.0029761904761904795, 0.14484126984126977, 0.9206349206349201, 0, 1, 0, 0, 0, 1
18, 0.008928571428571425, 0.08928571428571426, 0.952380952380952, 0, 1, 0, 0, 0, 0
19, 0.01964285714285713, 0.431493506493507, 0.8121212121212116, 0, 1, 1, 0, 1, 1
20, 0.00416666666666668, 0.3694444444444433, 0.933333333333332, 0, 1, 1, 0, 1, 0
21, 0.03174603174603177, 0.49470899470899443, 0.7685185185185184, 0, 1, 1, 0, 2, 0
22, 0.0111111111111111, 0.5518518518518523, 0.7185185185185186, 0, 1, 1, 0, 2, 1
23, 0.019642857142857156, 0.5685064935064934, 0.8325757575757572, 0, 1, 1, 1, 1, 1
24, 0.01785714285714285, 0.6210317460317455, 0.826388888888889, 0, 1, 1, 1, 2, 0
25, 0.020833333333333315, 0.6805555555555559, 0.8333333333333338, 0, 1, 1, 1, 2, 1
26, 0.005952380952380987, 0.710317460317461, 0.9166666666666643, 0, 1, 2, 0, 2, 1
27, 0.007936507936507908, 0.7473544973544974, 0.8842592592592602, 0, 1, 2, 0, 3, 0
28, 0.002777777777777768, 0.7759259259259293, 0.8592592592592626, 0, 1, 2, 0, 3, 1
29, 0.01607142857142857, 0.8162698412698413, 0.9194444444444443, 0, 1, 2, 1, 2, 1
30, 0.0019841269841270326, 0.8736772486772406, 0.942129629629623, 0, 1, 2, 1, 3, 0
31, 0.00694444444444442, 0.9212962962962973, 0.962962962962964, 0, 1, 2, 1, 3, 1
32, 0.006944444444444444, 0.0787037037037037, 0.037037037037037035, 1, 0, 0, 0, 0, 0
33, 0.001984126984126984, 0.12632275132275128, 0.05787037037037037, 1, 0, 0, 0, 0, 1
34, 0.016071428571428573, 0.18373015873015874, 0.08055555555555556, 1, 0, 0, 0, 1, 0
35, 0.002777777777777775, 0.22407407407407406, 0.14074074074074072, 1, 0, 0, 1, 0, 0
36, 0.007936507936507936, 0.25264550264550256, 0.11574074074074074, 1, 0, 0, 1, 0, 1
37, 0.005952380952380952, 0.2896825396825397, 0.08333333333333333, 1, 0, 0, 1, 1, 0
38, 0.020833333333333336, 0.3194444444444444, 0.16666666666666666, 1, 0, 1, 0, 1, 0
39, 0.01785714285714285, 0.37896825396825423, 0.17361111111111116, 1, 0, 1, 0, 1, 1
40, 0.019642857142857156, 0.4314935064935064, 0.1674242424242425, 1, 0, 1, 0, 2, 0
41, 0.0111111111111111, 0.44814814814814813, 0.28148148148148144, 1, 0, 1, 1, 1, 0
42, 0.031746031746031744, 0.5052910052910051, 0.23148148148148148, 1, 0, 1, 1, 1, 1
43, 0.0196428571428571, 0.5685064935064936, 0.1878787878787877, 1, 0, 1, 1, 2, 0
44, 0.004166666666666652, 0.6305555555555553, 0.0666666666666665, 1, 0, 1, 1, 2, 1
45, 0.02857142857142861, 0.6444444444444449, 0.206878306878307, 1, 0, 2, 0, 2, 1
46, 0.007142857142857173, 0.5571428571428563, 0.37619047619047585, 1, 0, 2, 0, 2, 0
47, 0.005952380952380959, 0.7103174603174597, 0.11111111111111137, 1, 0, 2, 0, 3, 0
48, 0.005952380952380987, 0.710317460317461, 0.20634920634920642, 1, 0, 2, 1, 2, 0
49, 0.023809523809523808, 0.7837301587301582, 0.1150793650793652, 1, 0, 2, 1, 2, 1
50, 0.0029761904761904795, 0.8551587301587321, 0.0793650793650793, 1, 0, 2, 1, 3, 0
51, 0.008928571428571452, 0.910714285714286, 0.04761904761904774, 1, 0, 2, 1, 3, 1
52, 0.028571428571428553, 0.8857142857142852, 0.24761904761904768, 1, 1, 1, 1, 3, 1
53, 0.013095238095238132, 0.8074314574314562, 0.4319624819624821, 1, 1, 1, 1, 3, 0
54, 0.04761904761904756, 0.7450396825396827, 0.4632936507936509, 1, 1, 1, 1, 2, 1
55, 0.014880952380952384, 0.6686507936507938, 0.48134920634920625, 1, 1, 1, 1, 2, 0
56, 0.004166666666666666, 0.6305555555555565, 0.5194444444444447, 1, 1, 1, 1, 1, 1
57, 0.012698412698412681, 0.6034391534391529, 0.47248677248677223, 1, 1, 1, 0, 2, 1
58, 0.003968253968253954, 0.5423280423280423, 0.49470899470899543, 1, 1, 1, 0, 2, 0
