nr, area, centx, centy, pix0, pix1, pix2, pix3, pix4, pix5
0, 0.05555555555555555, 0.037037037037037035, 0.37037037037037035, 0, 0, 0, 0, 0, 0
1, 0.0069444444444444475, 0.07870370370370368, 0.41203703703703703, 0, 0, 0, 0, 0, 1
2, 0.02083333333333333, 0.09722222222222224, 0.4305555555555557, 0, 0, 0, 0, 1, 0
3, 0.016666666666666677, 0.12222222222222225, 0.45555555555555516, 0, 0, 0, 1, 0, 0
4, 0.05079365079365081, 0.1258597883597883, 0.6452050264550265, 0, 0, 1, 0, 0, 0
5, 0.015873015873015858, 0.19808201058201064, 0.5195105820105819, 0, 0, 1, 0, 0, 1
6, 0.04166666666666667, 0.24999999999999994, 0.5277777777777779, 0, 0, 1, 0, 1, 0
7, 0.005952380952380945, 0.2896825396825402, 0.5992063492063497, 0, 0, 1, 1, 0, 0
8, 0.01488095238095237, 0.33134920634920634, 0.5186507936507943, 0, 0, 1, 1, 0, 1
9, 0.0041666666666666935, 0.3694444444444443, 0.4805555555555554, 0, 0, 1, 1, 1, 0
10, 0.012698412698412723, 0.3965608465608461, 0.5275132275132272, 0, 0, 2, 0, 1, 0
11, 0.003968253968253968, 0.4576719576719581, 0.5052910052910057, 0, 0, 2, 0, 1, 1
12, 0.019642857142857142, 0.43149350649350665, 0.735930735930736, 0, 1, 1, 0, 1, 1
13, 0.03273809523809522, 0.3573232323232323, 0.810966810966811, 0, 1, 1, 0, 1, 0
14, 0.005952380952380945, 0.2896825396825406, 0.8888888888888892, 0, 1, 1, 0, 0, 1
15, 0.0071428571428571175, 0.4428571428571433, 0.8333333333333346, 0, 1, 1, 1, 0, 1
16, 0.03174603174603177, 0.49470899470899443, 0.7685185185185184, 0, 1, 1, 1, 1, 0
17, 0.0111111111111111, 0.5518518518518523, 0.7185185185185186, 0, 1, 1, 1, 1, 1
18, 0.019642857142857156, 0.5685064935064934, 0.8325757575757572, 0, 1, 2, 0, 1, 1
19, 0.01369047619047617, 0.618133195307108, 0.8073671497584545, 0, 1, 2, 0, 2, 0
20, 0.00416666666666668, 0.6305555555555544, 0.8888888888888874, 0, 1, 2, 1, 1, 0
21, 0.0267857142857143, 0.6871693121693123, 0.8518518518518517, 0, 1, 2, 1, 1, 1
22, 0.007936507936507908, 0.7473544973544974, 0.8842592592592602, 0, 1, 2, 1, 2, 0
23, 0.002777777777777768, 0.7759259259259293, 0.8592592592592626, 0, 1, 2, 1, 2, 1
24, 0.00833333333333336, 0.794444444444443, 0.9111111111111108, 0, 1, 3, 0, 2, 1
25, 0.007738095238095211, 0.8397741147741166, 0.9284188034188035, 0, 1, 3, 1, 1, 1
26, 0.0019841269841270326, 0.8736772486772406, 0.942129629629623, 0, 1, 3, 1, 2, 0
27, 0.00694444444444442, 0.9212962962962973, 0.962962962962964, 0, 1, 3, 1, 2, 1
28, 0.005952380952380945, 0.28968253968253904, 0.7936507936507945, 0, 1, 0, 1, 0, 1
29, 0.010714285714285718, 0.24523809523809517, 0.8769841269841269, 0, 1, 0, 1, 0, 0
30, 0.013095238095238097, 0.1925685425685426, 0.8914141414141413, 0, 1, 0, 0, 1, 0
31, 0.0029761904761904795, 0.14484126984126977, 0.9206349206349201, 0, 1, 0, 0, 0, 1
32, 0.008928571428571425, 0.08928571428571426, 0.952380952380952, 0, 1, 0, 0, 0, 0
33, 0.006944444444444444, 0.0787037037037037, 0.037037037037037035, 1, 0, 0, 0, 0, 0
34, 0.001984126984126984, 0.12632275132275128, 0.05787037037037037, 1, 0, 0, 0, 0, 1
35, 0.007738095238095238, 0.16022588522588524, 0.07158119658119656, 1, 0, 0, 0, 1, 0
36, 0.008333333333333335, 0.20555555555555555, 0.08888888888888892, 1, 0, 0, 1, 0, 0
37, 0.002777777777777775, 0.22407407407407406, 0.14074074074074072, 1, 0, 1, 0, 0, 0
38, 0.007936507936507936, 0.25264550264550256, 0.11574074074074074, 1, 0, 1, 0, 0, 1
39, 0.026785714285714288, 0.3128306878306878, 0.14814814814814814, 1, 0, 1, 0, 1, 0
40, 0.004166666666666666, 0.3694444444444451, 0.11111111111111102, 1, 0, 1, 0, 1, 1
41, 0.013690476190476183, 0.3818668046928918, 0.19263285024154597, 1, 0, 1, 1, 0, 1
42, 0.019642857142857156, 0.4314935064935064, 0.1674242424242425, 1, 0, 1, 1, 1, 0
43, 0.0111111111111111, 0.44814814814814813, 0.28148148148148144, 1, 0, 2, 0, 1, 0
44, 0.031746031746031744, 0.5052910052910051, 0.23148148148148148, 1, 0, 2, 0, 1, 1
45, 0.007142857142857145, 0.5571428571428585, 0.16666666666666666, 1, 0, 2, 0, 2, 0
46, 0.019642857142857156, 0.5685064935064934, 0.264069264069264, 1, 0, 2, 1, 1, 0
47, 0.03273809523809523, 0.6426767676767681, 0.1890331890331891, 1, 0, 2, 1, 1, 1
48, 0.005952380952380959, 0.7103174603174597, 0.11111111111111137, 1, 0, 2, 1, 2, 0
49, 0.005952380952380987, 0.710317460317461, 0.20634920634920642, 1, 0, 3, 0, 2, 0
50, 0.010714285714285718, 0.7547619047619045, 0.12301587301587305, 1, 0, 3, 0, 2, 1
51, 0.013095238095238063, 0.807431457431457, 0.10858585858585847, 1, 0, 3, 1, 1, 1
52, 0.0029761904761904795, 0.8551587301587321, 0.0793650793650793, 1, 0, 3, 1, 2, 0
53, 0.008928571428571452, 0.910714285714286, 0.04761904761904774, 1, 0, 3, 1, 2, 1
54, 0.05079365079365078, 0.8741402116402118, 0.3547949735449738, 1, 1, 2, 1, 2, 1
55, 0.015873015873015928, 0.8019179894179876, 0.4804894179894181, 1, 1, 2, 1, 2, 0
56, 0.04166666666666663, 0.7500000000000007, 0.4722222222222223, 1, 1, 2, 1, 1, 1
57, 0.005952380952380931, 0.7103174603174599, 0.4007936507936528, 1, 1, 2, 0, 2, 1
58, 0.014880952380952384, 0.6686507936507938, 0.48134920634920625, 1, 1, 2, 0, 2, 0
