nr, area, centroidx, centroidy, numBars, pixPerBar0, ..., pixPerBarN, vertex1x, vertex1y, vertex2x, ...
0, 0.05555555555555555, 0.037037037037037035, 0.37037037037037035, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0.1111111111111111, 0.1111111111111111, 0, 1
1, 0.0069444444444444475, 0.07870370370370368, 0.41203703703703703, 6, 0, 0, 0, 0, 0, 1, 0.1111111111111111, 0.1111111111111111, 0.125, 0.125, 0, 1
2, 0.008928571428571425, 0.0892857142857143, 0.42261904761904756, 6, 0, 0, 0, 0, 1, 0, 0.125, 0.125, 0.14285714285714285, 0.14285714285714285, 0, 1
3, 0.06746031746031747, 0.12496109554933087, 0.5269218798630563, 6, 0, 0, 0, 1, 0, 0, 0.14285714285714285, 0.14285714285714285, 0.2222222222222222, 0.2222222222222222, 0.16666666666666666, 0.6666666666666667, 0, 1
4, 0.011111111111111113, 0.2101851851851854, 0.4268518518518521, 6, 0, 0, 0, 1, 0, 1, 0.2222222222222222, 0.2222222222222222, 0.25, 0.25, 0.2, 0.6000000000000001, 0.16666666666666666, 0.6666666666666667
5, 0.010714285714285711, 0.24523809523809523, 0.4063492063492064, 6, 0, 0, 0, 1, 1, 0, 0.25, 0.25, 0.2857142857142857, 0.2857142857142857, 0.25, 0.5, 0.2, 0.6000000000000001
6, 0.005952380952380952, 0.2896825396825397, 0.3730158730158729, 6, 0, 0, 0, 2, 0, 0, 0.2857142857142857, 0.2857142857142857, 0.3333333333333333, 0.3333333333333333, 0.25, 0.5
7, 0.02261904761904763, 0.2686299081035922, 0.5895572263993318, 6, 0, 0, 1, 1, 0, 0, 0.3333333333333333, 0.3333333333333333, 0.2857142857142857, 0.7142857142857144, 0.2, 0.8, 0.25, 0.5
8, 0.014880952380952384, 0.33134920634920617, 0.5186507936507938, 6, 0, 0, 1, 1, 0, 1, 0.3333333333333333, 0.3333333333333333, 0.375, 0.375, 0.3333333333333333, 0.6666666666666665, 0.2857142857142857, 0.7142857142857144
9, 0.013690476190476197, 0.38186680469289175, 0.5161663216011041, 6, 0, 0, 1, 1, 1, 0, 0.375, 0.375, 0.42857142857142855, 0.42857142857142855, 0.4, 0.6000000000000001, 0.3333333333333333, 0.6666666666666665
10, 0.003174603174603191, 0.4243386243386237, 0.5148148148148137, 6, 0, 0, 1, 2, 0, 0, 0.42857142857142855, 0.42857142857142855, 0.4444444444444444, 0.4444444444444444, 0.42857142857142855, 0.5714285714285716, 0.4, 0.6000000000000001
11, 0.003968253968253968, 0.4576719576719581, 0.5052910052910057, 6, 0, 0, 1, 2, 0, 1, 0.4444444444444444, 0.4444444444444444, 0.5, 0.5, 0.42857142857142855, 0.5714285714285716
12, 0.008333333333333331, 0.20555555555555555, 0.6777777777777778, 6, 0, 0, 1, 0, 1, 0, 0.2, 0.8, 0.16666666666666666, 0.8333333333333333, 0.2, 0.6000000000000001, 0.25, 0.5
13, 0.004761904761904759, 0.1698412698412699, 0.7357142857142853, 6, 0, 0, 1, 0, 0, 1, 0.16666666666666666, 0.8333333333333333, 0.14285714285714285, 0.8571428571428572, 0.16666666666666666, 0.6666666666666667, 0.2, 0.6000000000000001
14, 0.011904761904761897, 0.10317460317460317, 0.8412698412698417, 6, 0, 0, 1, 0, 0, 0, 0.14285714285714285, 0.8571428571428572, 0, 1, 0.16666666666666666, 0.6666666666666667
15, 0.02678571428571426, 0.43452380952380976, 0.7619047619047619, 6, 0, 1, 0, 2, 0, 1, 0.5, 0.5, 0.42857142857142855, 1, 0.375, 1, 0.42857142857142855, 0.5714285714285716
16, 0.01369047619047617, 0.3818668046928917, 0.8107660455486542, 6, 0, 1, 0, 2, 0, 0, 0.375, 1, 0.3333333333333333, 1, 0.4, 0.6000000000000001, 0.42857142857142855, 0.5714285714285716
17, 0.03174603174603177, 0.49470899470899443, 0.7685185185185184, 6, 0, 1, 0, 2, 1, 0, 0.5, 0.5, 0.5555555555555556, 0.5555555555555556, 0.5, 1, 0.42857142857142855, 1
18, 0.003968253968253954, 0.5423280423280411, 0.7089947089947078, 6, 0, 1, 0, 2, 1, 1, 0.5555555555555556, 0.5555555555555556, 0.5714285714285714, 0.5714285714285714, 0.5, 1
19, 0.019642857142857184, 0.568506493506494, 0.7563852813852818, 6, 0, 1, 0, 3, 0, 1, 0.5714285714285714, 0.5714285714285714, 0.625, 0.625, 0.6, 0.8000000000000007, 0.5, 1
20, 0.00416666666666668, 0.6305555555555544, 0.6972222222222213, 6, 0, 1, 0, 3, 1, 0, 0.625, 0.625, 0.6666666666666666, 0.6666666666666666, 0.6, 0.8000000000000007
21, 0.019047619047619063, 0.3396825396825398, 0.8111111111111111, 6, 0, 1, 0, 1, 1, 0, 0.3333333333333333, 1, 0.2857142857142857, 1, 0.3333333333333333, 0.6666666666666665, 0.4, 0.6000000000000001
22, 0.01190476190476189, 0.28968253968253965, 0.8412698412698418, 6, 0, 1, 0, 1, 0, 1, 0.2857142857142857, 1, 0.25, 1, 0.2857142857142857, 0.7142857142857144, 0.3333333333333333, 0.6666666666666665
23, 0.019047619047619035, 0.22787698412698415, 0.8797619047619049, 6, 0, 1, 0, 1, 0, 0, 0.25, 1, 0.16666666666666666, 1, 0.2, 0.8, 0.2857142857142857, 0.7142857142857144
24, 0.004761904761904766, 0.1698412698412699, 0.9055555555555551, 6, 0, 1, 0, 0, 1, 0, 0.16666666666666666, 1, 0.14285714285714285, 1, 0.16666666666666666, 0.8333333333333333, 0.2, 0.8
